,bias,bias_std_err,tau,phi_S2S,phi_w,sigma
EAS_0.045000000000,-0.230817704,0.102799842,0.792587205,0.543601116,0.949358323,1.35091742
EAS_0.050000000000,-0.262229348,0.102397398,0.793344095,0.525928444,0.929810441,1.33061754
EAS_0.060000000000,-0.309512665,0.101638014,0.797468859,0.473188028,0.897945954,1.290802242
EAS_0.070000000000,-0.349644304,0.099559518,0.790256123,0.421857861,0.838534615,1.227032639
EAS_0.080000000000,-0.355277044,0.098776335,0.791464604,0.383325599,0.792925327,1.184096832
EAS_0.090000000000,-0.347946831,0.096777394,0.780466931,0.354659135,0.738645048,1.13159544
EAS_0.100000000000,-0.332742525,0.096234637,0.780561455,0.335982433,0.692302414,1.096103559
EAS_0.107226722000,-0.313061113,0.094561282,0.767412971,0.33157098,0.668971096,1.070693378
EAS_0.114975700000,-0.294100261,0.093434897,0.757574938,0.336580204,0.65263664,1.055054787
EAS_0.123284674000,-0.267016167,0.093060848,0.753107855,0.352106054,0.635396036,1.046364295
EAS_0.132194115000,-0.228306321,0.09113654,0.732667435,0.380287306,0.620951689,1.032957408
EAS_0.141747416000,-0.196924929,0.086598109,0.688930061,0.401418183,0.61075047,1.004379073
EAS_0.151991108000,-0.172076374,0.081237293,0.637767433,0.416402039,0.604553305,0.972431312
EAS_0.162975084000,-0.160094799,0.078022995,0.609171647,0.414446785,0.593365054,0.946011797
EAS_0.174752840000,-0.130753061,0.075681945,0.59003823,0.403150188,0.586214981,0.924296052
EAS_0.187381742000,-0.108129934,0.073696988,0.570781671,0.409459809,0.58107777,0.911647095
EAS_0.200923300000,-0.087623959,0.071207422,0.545109078,0.422775142,0.578065517,0.900023593
EAS_0.215443469000,-0.036699067,0.068887166,0.521540163,0.431771455,0.57542172,0.888561133
EAS_0.231012970000,0.025765942,0.06686744,0.50390177,0.421672872,0.585933604,0.880365375
EAS_0.247707636000,0.075006396,0.065463248,0.493414045,0.408231075,0.587240643,0.868885264
EAS_0.265608778000,0.136526745,0.062162864,0.461144891,0.409032281,0.597008363,0.85812645
