Site,Latitude (°),Longitude (°),Basin,Geomorphology,Basin Type (NZVM 2.09),Vs30,Z1 (NZVM 2.09),Z1 (GTL),"Z1, sim (NZVM 2.09)","Z1, sim (GTL)",NEs,Ratio
PARS,-43.567898,172.750717,BPVOutcrops,Hill,Non-Basin,750,115.13,47.62,57.61,23.85,18,2.415513627
PEEC,-43.92386,171.233957,Canterbury,Basin Edge,Type 4,425,57.89,57.89,29.43,29.43,6,1
PFAS,-41.13849443,174.8460956,Porirua,Valley,Type 1,532,62.43,62.43,44.43,44.43,10,1
PGFS,-40.30219978,176.6117511,-,Valley,Unmodeled,215,64.03,64.03,46.03,46.03,4,1
PGMS,-41.22450647,174.8794357,Wellington,Basin,Type 3,200,270.16,69.79,264.16,63.79,20,4.141087945
PHHS,-41.25209,174.904297,-,Hill,Non-Basin,613,35.27,35.27,35.23,35.23,11,1
PIPS,-41.26748661,174.7860682,Wellington,Basin,Type 3,210,304.15,56.7,299.15,51.7,14,5.786266925
PKGZ,-37.8664,178.0805,-,Hill,Non-Basin,604,49.88,49.88,25.44,25.44,5,1
PNBS,-40.34894858,175.6075783,PalmerstonNorth,Basin,Type 1,294,1050.63,66.07,1021.63,37.07,5,27.55948206
PNMS,-40.36286,175.59311,PalmerstonNorth,Basin,Type 1,264,1202.63,65.54,1177.63,40.54,14,29.04859398
PNRS,-40.33027,175.6337,PalmerstonNorth,Basin,Type 1,294,659.63,66.41,614.63,33.28,12,18.46844952
POKS,-41.12495,174.83151,Porirua,Valley,Type 1,302,47.64,47.64,28.64,28.64,18,1
POLS,-41.13139425,174.8390955,Porirua,Valley,Type 1,275,63.34,63.34,57.34,57.34,21,1
POTS,-41.27221732,174.7746442,Wellington,Hill,Non-Basin,453,47.92,42.82,23.9,21.41,16,1.116300794
PPHS,-43.49284604,172.6069162,Canterbury,Basin,Type 4,180,659.9,100.67,647.9,88.67,16,7.306868163
PRKS,-41.24901997,174.9341325,Wellington,Valley,Type 3,190,49.91,49.91,25.03,25.03,10,1
PRPC,-43.52581308,172.6827711,Canterbury,Basin,Type 4,196,479.79,94.57,476.79,91.57,15,5.2068363
PTOS,-41.222973,174.860302,-,Hill,Non-Basin,450,39.85,39.85,22.85,22.85,16,1
PUZ,-38.07154787,178.257209,-,Hill,Non-Basin,1000,52.53,52.53,26.56,26.56,13,1
PVCS,-41.22474608,174.8739174,Wellington,Basin,Type 3,190,276.15,66.94,271.15,61.94,20,4.377623507
PWES,-41.12746,174.82586,-,Hill,Non-Basin,622,44.3,44.3,22.17,22.17,21,1
PYZ,-46.16625168,166.6806925,-,Hill,Non-Basin,1000,43.64,43.64,22.31,22.31,7,1
QCCS,-41.27962569,174.0231446,QueenCharlotte,Valley,Type 1,268,55.95,55.95,28.41,28.41,24,1
QRZ,-40.82552162,172.5291478,-,Hill,Non-Basin,1000,34.12,34.12,17.11,17.11,23,1
QTPS,-45.03215591,168.6628861,Wakatipu,Valley,Type 1,270,60.49,60.49,30.44,30.44,5,1
RCBS,-43.557934,172.73265,Canterbury,Hill,Non-Basin,433,123.34,67.81,108.34,52.81,3,2.051505397
RCS1,-41.53971,173.62927,Marlborough,Valley,Type 1,324,224.27,56.53,112.26,28.64,6,3.919692737
RDCS,-42.1196999,171.8643834,WestCoast,Valley,Type 1,300,64.28,64.28,32.2,32.2,15,1
REHS,-43.52194686,172.6351465,Canterbury,Basin,Type 4,155,638.74,98.03,632.74,92.03,22,6.875366728
RHBS,-43.571407,172.75693,BPVOutcrops,Hill,Non-Basin,900,51.62,35.52,25.98,17.92,5,1.449776786
RHSC,-43.536172,172.564404,Canterbury,Basin,Type 4,286,446.13,88.73,426.13,68.73,17,6.200058199
RKAC,-43.75146119,172.0231473,Canterbury,Basin,Type 4,452,765.33,53.15,656.33,26.86,6,24.43521966
ROLC,-43.59281802,172.3810928,Canterbury,Basin,Type 4,447,410.61,72.45,358.61,36.52,15,9.819550931
ROTS,-38.135724,176.255191,-,Basin,Unmodeled,264,91.37,91.37,46.12,46.12,6,1
RPZ,-43.71460758,171.0538649,-,Hill,Non-Basin,1000,39.27,39.27,20.06,20.06,10,1
RRKS,-46.14743373,167.4725232,Rarakau,Basin,Type 1,278,268.17,60.88,223.17,30.75,6,7.257560976
RTZ,-38.61544,176.980518,-,Hill,Non-Basin,1000,47.87,47.87,24.19,24.19,7,1
SACS,-43.50674,172.61619,Canterbury,Basin,Type 4,185,645.7,100.27,635.7,90.27,4,7.042206713
SBRC,-43.8087033,172.25238,Canterbury,Basin,Type 4,200,425.89,85.57,401.89,61.57,15,6.527367224
SCAC,-42.93857277,172.921623,NorthCanterbury,Basin Edge,Type 1,275,73.72,73.72,37.28,37.28,23,1
SDNS,-41.66382069,174.1372917,Marlborough,Basin,Type 1,292,678,79.53,601,40.25,5,14.93167702
SEAS,-41.326447,174.837638,Wellington,Hill,Non-Basin,305,74.62,74.62,73.62,73.62,19,1
SEDS,-41.67229,174.07645,Marlborough,Basin Edge,Type 1,273,691,87.76,601,43.98,13,13.66530241
SEVS,-41.246984,174.902163,Wellington,Basin,Type 3,209,245.16,65.82,244.16,64.82,11,3.766738661
SHFC,-43.39115189,172.0257592,Canterbury,Basin,Type 4,500,63.05,59.21,32.05,29.9,15,1.071906355
SHLC,-43.50533676,172.6633911,Canterbury,Basin,Type 4,201,675.2,97.56,672.2,94.56,15,7.108714044
SJFS,-42.33457593,172.1802864,SpringsJunction,Valley,Type 1,294,71.91,65.46,35.9,32.97,21,1.088868668
SKFS,-45.89862582,170.5097155,Dunedin,Valley,Type 1,140,79.22,79.22,71.22,71.22,3,1
SLRC,-43.67513,172.31752,Canterbury,Basin,Type 4,327,303.82,79.24,267.82,43.24,20,6.193802035
SMHS,-43.26216,172.3363,Canterbury,Basin,Type 4,500,665.05,68.3,498.05,34.58,19,14.40283401
SMTC,-43.4675293,172.6138611,Canterbury,Basin,Type 4,219,692.05,100.82,682.05,90.82,13,7.509909712
SOCS,-41.2043261,174.9159362,Wellington,Basin,Type 3,233,143.37,62.76,132.37,51.76,14,2.557380216
SOMS,-41.25746,174.865,Wellington,Hill,Non-Basin,1000,86.36,53.28,53.36,26.24,18,2.033536585
SPFS,-43.33797027,171.9289382,Canterbury,Basin,Type 4,500,25.05,47.45,12.05,24.03,7,0.501456513
SPRS,-43.3368,171.93008,Canterbury,Basin,Type 4,500,28.05,51.57,14.05,26.23,26,0.535646207
STAS,-43.51361,172.64112,Canterbury,Basin,Type 4,180,679.89,99.41,673.89,93.41,6,7.214323948
STKS,-43.606541,172.644913,BPVOutcrops,Hill,Non-Basin,1000,0,33.4,0,16.94,15,0
SUMS,-43.56921,172.75681,BPVOutcrops,Hill,Non-Basin,604,41.83,43.69,21.83,23.69,13,0.921485859
SWNC,-43.36943258,172.4953554,Canterbury,Basin,Type 4,546,898.05,75.33,841.05,37.71,18,22.30310263
SYZ,-46.53689035,169.138823,-,Hill,Non-Basin,800,72.54,72.54,37.54,37.54,3,1
TAIS,-41.18038403,174.9547719,Wellington,Basin,Type 3,510,87.62,55.81,65.62,33.81,15,1.940845904
TBAS,-38.3728037,178.3007786,TolagaBay,Basin,Type 1,215,149.24,149.24,147.24,147.24,9,1
TBCS,-37.70269658,176.1566748,Whakatane,Basin,Type 1,209,208.25,64.21,189.25,45.21,7,4.186020792
TCW,-41.21036472,174.2763281,-,Hill,Non-Basin,1000,31,31,15.96,15.96,22,1
TDHS,-37.63331992,178.3653717,TeAraroa,Basin,Type 1,214,82.91,82.91,74.91,74.91,10,1
